Text,Speaker,Episode,Season,Show,sentiment_score,sentiment_label,mapped,bracket,accumulative_sentiment,average_sentiment
" What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces.",WAYMAR ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones,2.8435957431793213,NEGATIVE,waymar royce,,-2.8435957431793213,-1.0
" I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life.",WILL,e1-Winter is Coming,season-01,Game-of-Thrones,2.7630560398101807,POSITIVE,will,,2.7630560398101807,1.0
 How close did you get?,WAYMAR ROYCE,e1-Winter is Coming,season-01,Game-of-Thrones,0.5826964378356934,NEGATIVE,waymar royce,,-3.4262921810150146,-1.0
 Close as any man would.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones,2.810487985610962,POSITIVE,will,,5.573544025421143,1.0
 We should head back to the wall.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.2635529041290283,NEGATIVE,gared,,-3.2635529041290283,-1.0
 Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.7614381313323975,POSITIVE,gared,,0.49788522720336914,0.0
 Whatever did it to them could do it to us. They even killed the children.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones,3.3533260822296143,NEGATIVE,will,,2.2202179431915283,0.3333333333333333
 They were here.,WILL,e1-Winter is Coming,season-01,Game-of-Thrones,2.867549419403076,POSITIVE,will,,5.0877673625946045,0.5
 See where they went.,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.5018908977508545,POSITIVE,gared,,3.9997761249542236,0.3333333333333333
 It’s …,GARED,e1-Winter is Coming,season-01,Game-of-Thrones,3.188484907150269,POSITIVE,gared,,7.188261032104492,0.5
 Go on. Father’s watching.,JON,e1-Winter is Coming,season-01,Game-of-Thrones,3.178272247314453,POSITIVE,jon snow,,3.178272247314453,1.0
 And your mother.,JON,e1-Winter is Coming,season-01,Game-of-Thrones,2.477226734161377,POSITIVE,jon snow,,5.65549898147583,1.0
 Thank you.,SANSA,e1-Winter is Coming,season-01,Game-of-Thrones,4.572116374969482,POSITIVE,sansa stark,,4.572116374969482,1.0
" Don’t think too much, Bran.",JON,e1-Winter is Coming,season-01,Game-of-Thrones,4.272757053375244,NEGATIVE,jon snow,,1.382741928100586,0.3333333333333333
 Relax your bow arm.,ROBB,e1-Winter is Coming,season-01,Game-of-Thrones,0.7246644496917725,POSITIVE,robb stark,,0.7246644496917725,1.0
 Do you have to?,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,1.6801526546478271,NEGATIVE,catelyn stark,,-1.6801526546478271,-1.0
 Ned. Ten is too young to see such things.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones,2.716757774353028,NEGATIVE,catelyn stark,,-4.3969104290008545,-1.0
" Lad, go run back and get the rest.",ROBB,e1-Winter is Coming,season-01,Game-of-Thrones,1.5732083320617676,NEGATIVE,robb stark,,-0.8485438823699951,0.0
" White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",WILL (muttering),e1-Winter is Coming,season-01,Game-of-Thrones,0.7833280563354492,POSITIVE,will,muttering,5.871095418930054,0.6
" I know I broke my oath. And I know I’m a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I’m no coward. Tell them I’m sorry.",WILL,e1-Winter is Coming,season-01,Game-of-Thrones,1.3144155740737915,POSITIVE,will,,7.185510993003845,0.6666666666666666
" Forgive me, lord.",WILL (whispering),e1-Winter is Coming,season-01,Game-of-Thrones,1.170032620429993,NEGATIVE,will,whispering,6.0154783725738525,0.42857142857142855
 Don’t look away.,JON (to BRAN),e1-Winter is Coming,season-01,Game-of-Thrones,3.8335349559783936,POSITIVE,jon snow,to BRAN,5.2162768840789795,0.5
 Father will know if you do.,JON,e1-Winter is Coming,season-01,Game-of-Thrones,3.3652706146240234,POSITIVE,jon snow,,8.581547498703003,0.6
